Timestamp,Age,Gender,City,Country,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR, Yearly brutto salary (without bonus and stocks) in EUR1 ,, IUSD , Yearly brutto salary ,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,–°ontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",,,,,,,,,,,,,Your main technology , programming language,,,,
24-11-2020 11:25,,Male,Berlin,Germany,DevOps,14,5,Senior,,"Python, Go, AWS, Kubernetes, Docker",67000," Ä 67,000.00 "," $71,241.10 ",,$70K-$80K ,7000,65000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:26,40,Male,Berlin,Germany,Product Manager,13,1,Senior,SQL,Python,70000," Ä 70,000.00 "," $74,431.00 ",,$70K-$80K ,,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,200,,,,,,,,,,,,,SQL,,,,,
24-11-2020 11:26,29,Male,Berlin,Germany,Software Engineer,6,4,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000," Ä 85,000.00 "," $90,380.50 ",,$80K-$100K ,5000,78000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1100,,,,,,,,,,,,,Go,,,,,
24-11-2020 11:27,31,Male,Berlin,Germany,Backend Developer,5,1,Middle,java,Kotlin,65000," Ä 65,000.00 "," $69,114.50 ",,$60K-$70K ,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,,,,,,,,,,,,,,java,,,,,
24-11-2020 11:27,29,Female,Berlin,Germany,QA Engineer,7,1,Middle,,Javascript / Typescript,45000," Ä 45,000.00 "," $47,848.50 ",,$40K-$50K ,2000,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:27,39,Male,Berlin,Germany,Software Engineer,8,5,Senior,Java,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,,80000,,29,Full-time employee,Unlimited contract,English,51-100,Startup,No,30,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:28,27,Male,Berlin,Germany,Software Engineer,8,1,Middle,Javascript,,63000," Ä 63,000.00 "," $66,987.90 ",,$60K-$70K ,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Javascript,,,,,
24-11-2020 11:28,33,Male,Berlin,Germany,Data Scientist,5,4,Lead,Python,"Python, R, Google Cloud, Docker",150000," Ä 1,50,000.00 "," $1,59,495.00 ",,$100K-$200K ,80000,81000,4000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,0,1,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:28,28,Female,Berlin,Germany,Designer (UI/UX),7,7,Middle,Figma,,45000," Ä 45,000.00 "," $47,848.50 ",,$40K-$50K ,,37000,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,,,,,,,,,,,,,Figma,,,,,
24-11-2020 11:29,30,Male,Berlin,Germany,Software Engineer,8,3,Senior,JavaScript,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,,72000,3500,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,,,,,,,,,,,,,,JavaScript,,,,,
24-11-2020 11:29,28,Male,Berlin,Germany,Backend Developer,5,1,Senior,Kotlin,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,58000,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0,,,,,,,,,,,,,,Kotlin,,,,,
24-11-2020 11:29,38,Male,Berlin,Germany,DevOps,10,5,Senior,Go/Python,"AWS, Kubernetes, Docker",70000," Ä 70,000.00 "," $74,431.00 ",,$70K-$80K ,,65000,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,0,,,,,,,,,,,,,,Go,Python,,,,
24-11-2020 11:30,29,Male,Berlin,Germany,Frontend Developer,7,2,Senior,React,Javascript / Typescript,72000," Ä 72,000.00 "," $76,557.60 ",,$70K-$80K ,12000,63000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000,,,,,,,,,,,,,React,,,,,
24-11-2020 11:30,49,Male,Berlin,Germany,Software Engineer,15,15,Senior,Java,SQL,67000," Ä 67,000.00 "," $71,241.10 ",,$70K-$80K ,1500,66000,,29,Full-time employee,Unlimited contract,German,1000+,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:30,32,Male,Berlin,Germany,Frontend Developer,10,5,Senior,TypeScript,"AWS, Kubernetes",105000," Ä 1,05,000.00 "," $1,11,646.50 ",,$100K-$200K ,,80000,,60,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,5000,,,,,,,,,,,,,TypeScript,,,,,
24-11-2020 11:30,33,Female,Berlin,Germany,Software Engineer,12,5,Senior,–°#,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000," Ä 88,000.00 "," $93,570.40 ",,$80K-$100K ,35200,96000,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:30,30,Male,Berlin,Germany,Software Engineer,6,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000," Ä 74,000.00 "," $78,684.20 ",,$70K-$80K ,15000,54000,54000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:31,48,Male,Berlin,Germany,Software Engineer,25,11,Senior,Java,"Kotlin, Java / Scala, SQL",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,75000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:31,28,Female,Berlin,Germany,Designer (UI/UX),5,1,Senior,,,60000," Ä 60,000.00 "," $63,798.00 ",,$60K-$70K ,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:31,32,Male,Berlin,Germany,Backend Developer,3,1,Middle,Java,"AWS, Kubernetes, Docker",77000," Ä 77,000.00 "," $81,874.10 ",,$80K-$100K ,,62000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:31,38,Female,Berlin,Germany,Backend Developer,12,6,Senior,,C/C++,70000," Ä 70,000.00 "," $74,431.00 ",,$70K-$80K ,8000,63000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:31,31,Male,Berlin,Germany,Software Engineer,7,3,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000," Ä 76,000.00 "," $80,810.80 ",,$80K-$100K ,10000,69000,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:32,35,Male,Berlin,Germany,Backend Developer,10,7,Senior,Ruby,"Go, AWS, Kubernetes, Docker, Elixir",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,72000,15000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,500,,,,,,,,,,,,,Ruby,,,,,
24-11-2020 11:32,28,Female,Berlin,Germany,Designer (UI/UX),7,7,Middle,Figma,,45000," Ä 45,000.00 "," $47,848.50 ",,$40K-$50K ,,37000,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,,,,,,,,,,,,,,Figma,,,,,
24-11-2020 11:32,29,Female,Berlin,Germany,QA Engineer,8,5,Senior,,,60000," Ä 60,000.00 "," $63,798.00 ",,$60K-$70K ,,52000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:32,32,Male,Berlin,Germany,Backend Developer,8,5,Senior,PHP,"PHP, SQL, AWS, Kubernetes, Docker",65000," Ä 65,000.00 "," $69,114.50 ",,$60K-$70K ,,60000,,30,Full-time employee,Unlimited contract,English,50-60,Product,No,0,,,,,,,,,,,,,,PHP,,,,,
24-11-2020 11:32,44,Male,Berlin,Germany,Backend Developer,12,3,Senior,Java,"SQL, Go, Kubernetes, Docker",68000," Ä 68,000.00 "," $72,304.40 ",,$70K-$80K ,,68000,,26,Full-time employee,Unlimited contract,English,50-60,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:33,,Male,Berlin,Germany,Software Engineer,,1,Senior,PHP,,75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,,,,Full-time employee,,English,,,No,0,,,,,,,,,,,,,,PHP,,,,,
24-11-2020 11:33,35,Male,Munich,Germany,Software Engineer,11,3,Senior,Php,"Javascript / Typescript, AWS, Kubernetes, Docker",65000," Ä 65,000.00 "," $69,114.50 ",,$60K-$70K ,5000,65000,,29,Full-time employee,Unlimited contract,German,101-1000,Product,No,,2000,,,,,,,,,,,,,Php,,,,,
24-11-2020 11:33,33,Male,Munich,Germany,DevOps,15,4,Lead,Kubernetes,"AWS, Google Cloud, Azure, Docker",90000," Ä 90,000.00 "," $95,697.00 ",,$80K-$100K ,10000,78000,85000,30,Full-time employee,Unlimited contract,,101-1000,Product,No,,,,,,,,,,,,,,,Kubernetes,,,,,
24-11-2020 11:33,29,Male,Berlin,Germany,Software Engineer,5,3,Senior,Go,"Java / Scala, AWS, Docker",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,58000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Go,,,,,
24-11-2020 11:33,66,Male,Munich,Germany,Software Engineer,40,4,Lead,ruby on rails,"Javascript / Typescript, Ruby, SQL",70000," Ä 70,000.00 "," $74,431.00 ",,$70K-$80K ,,50000,,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0,,,,,,,,,,,,,,ruby on rails,,,,,
24-11-2020 11:35,39,Female,Berlin,Germany,Software Engineer,10,10,Senior,Java,"Javascript / Typescript, SQL",70500," Ä 70,500.00 "," $74,962.65 ",,$70K-$80K ,1000,68000,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,500,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:36,28,Male,Munich,Germany,Backend Developer,5,4,Senior,Kotlin,"Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000," Ä 72,000.00 "," $76,557.60 ",,$70K-$80K ,,56000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Kotlin,,,,,
24-11-2020 11:37,34,Male,Munich,Germany,Frontend Developer,5,5,Senior,JavaScript/ES6,,73500," Ä 73,500.00 "," $78,152.55 ",,$70K-$80K ,,70000,,27,Full-time employee,Unlimited contract,English,50-60,Product,No,,,,,,,,,,,,,,,JavaScript,ES6,,,,
24-11-2020 11:37,34,Male,Munich,Germany,Software Engineer,13,3,Lead,.NET,".NET, SQL",72000," Ä 72,000.00 "," $76,557.60 ",,$70K-$80K ,72000,60000,60000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,32,,,,,,,,,,,,,,.NET,,,,,
24-11-2020 11:38,32,Male,Munich,Germany,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, Java / Scala",62000," Ä 62,000.00 "," $65,924.60 ",,$60K-$70K ,,60000,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,,,,,,,,,,,,,,Javascript,,,,,
24-11-2020 11:38,38,Male,Stuttgart,Germany,Hardware Engineer,15,5,Lead,Hardware,,83000," Ä 83,000.00 "," $88,253.90 ",,$80K-$100K ,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,,,,,,,,,,,,,,Hardware,,,,,
24-11-2020 11:38,32,Male,Berlin,Germany,Data Scientist,10,10,Head,,,110000," Ä 1,10,000.00 "," $1,16,963.00 ",,$100K-$200K ,30000,85000,15000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:38,45,Male,Schleswig-Holstein,Germany,Software Engineer,26,18,Senior,C#,"C/C++, .NET, SQL",93000," Ä 93,000.00 "," $98,886.90 ",,$80K-$100K ,10000,93000,11000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,,,,,,,,,,,,,,C#,,,,,
24-11-2020 11:39,48,Male,London,England,Data Engineer,23,0,,Google Cloud Platform,"Python, SQL, Go, Google Cloud, bash",110000," Ä 1,10,000.00 "," $1,16,963.00 ",,$100K-$200K ,,,,,Company Director,Temporary contract,English,up to 10,Personal Ltd,Yes,,,,,,,,,,,,,,,Google Cloud Platform,,,,,
24-11-2020 11:40,28,Male,Berlin,Germany,Software Engineer,3,2,Middle,Js,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000," Ä 55,000.00 "," $58,481.50 ",,$50K-$60K ,,42000,,22,Full-time employee,Unlimited contract,English,50-60,Startup,No,24,,,,,,,,,,,,,,Js,,,,,
24-11-2020 11:40,29,Male,Konstanz area,Germany,Mobile Developer,6,3,Middle,android,Kotlin,53000," Ä 53,000.00 "," $56,354.90 ",,$50K-$60K ,,53000,,26,Full-time employee,Unlimited contract,English,50-60,Startup,No,20,,,,,,,,,,,,,,android,,,,,
24-11-2020 11:40,36,Male,Munich,Germany,Backend Developer,15,3,Senior,java,PHP,55000," Ä 55,000.00 "," $58,481.50 ",,$50K-$60K ,,55000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,600,,,,,,,,,,,,,java,,,,,
24-11-2020 11:40,39,Male,Berlin,Germany,Software Engineer,10,2,Senior,C#,"Javascript / Typescript, .NET, SQL, Azure, Docker",75000," Ä 75,000.00 "," $79,747.50 ",,$70K-$80K ,,65000,,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,,,,,,,,,,,,,,C#,,,,,
24-11-2020 11:40,29,Male,Munich,Germany,Software Engineer,7,3,Senior,JavaScript ,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,5000,72000,2500,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000,,,,,,,,,,,,,JavaScript ,,,,,
24-11-2020 11:42,31,Male,Berlin,Germany,Engineering Manager,11,6,Lead,Java,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,,79000,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,40,200,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:43,30,Male,Berlin,Germany,Backend Developer,5,5,Middle,Java,,55000," Ä 55,000.00 "," $58,481.50 ",,$50K-$60K ,,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:43,30,Male,Munich,Germany,DevOps,8,2,Middle,,,70200," Ä 70,200.00 "," $74,643.66 ",,$70K-$80K ,75000,63000,63000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,Python,,,,,
24-11-2020 11:43,33,Male,Frankfurt,portugal,Software Engineer,4,0,Middle,Java,,50000," Ä 50,000.00 "," $53,165.00 ",,$50K-$60K ,,,,24,Full-time employee,Unlimited contract,English,50-60,Consulting / Agency,No,,,,,,,,,,,,,,,Java,,,,,
24-11-2020 11:44,27,Male,Berlin,Germany,Software Engineer,5,1,Senior,Scala,Java / Scala,78000," Ä 78,000.00 "," $82,937.40 ",,$80K-$100K ,,70000,,30,Full-time employee,Unlimited contract,English,1000+,Startup,No,,,,,,,,,,,,,,,Scala,,,,,
24-11-2020 11:44,26,Female,Munich,Germany,Data Scientist,6,2,Middle,python,"Python, C/C++, SQL, Docker",60000," Ä 60,000.00 "," $63,798.00 ",,$60K-$70K ,10000,60000,60000,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,,,,,,,,,,,,,,python,,,,,
